Label,Notation,Parent Notation,Sort Priority
Repair & maintenance of ships,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/33-15,http://business.data.gov.uk/companies/def/sic-2007/C,81
Repair & maintenance of aircraft  & spacecraft,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/33-16,http://business.data.gov.uk/companies/def/sic-2007/C,82
Rest of repair; Installation,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/33-not-33-15-16,http://business.data.gov.uk/companies/def/sic-2007/C,83
Electricity production - gas,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/35-1/1,http://business.data.gov.uk/companies/def/sic-2007/D,84
Electricity production - coal,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/35-1/2,http://business.data.gov.uk/companies/def/sic-2007/D,85
Electricity production - nuclear,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/35-1/3,http://business.data.gov.uk/companies/def/sic-2007/D,86
Electricity production - oil,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/35-1/4,http://business.data.gov.uk/companies/def/sic-2007/D,87
Electricity production - other,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/35-1/5,http://business.data.gov.uk/companies/def/sic-2007/D,88
Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/35-2-3,http://business.data.gov.uk/companies/def/sic-2007/D,89
Natural water; water treatment and supply services,http-//business-data-gov-uk/companies/def/sic-2007/36,http://business.data.gov.uk/companies/def/sic-2007/E,90
Sewerage services; sewage sludge,http-//business-data-gov-uk/companies/def/sic-2007/37,http://business.data.gov.uk/companies/def/sic-2007/E,91
"Waste collection, treatment and disposal services; materials recovery services",http-//business-data-gov-uk/companies/def/sic-2007/38,http://business.data.gov.uk/companies/def/sic-2007/E,92
Remediation services and other waste management services,http-//business-data-gov-uk/companies/def/sic-2007/39,http://business.data.gov.uk/companies/def/sic-2007/E,93
Buildings and building construction works,http-//business-data-gov-uk/companies/def/sic-2007/41,http://business.data.gov.uk/companies/def/sic-2007/F,94
Constructions and construction works for civil engineering,http-//business-data-gov-uk/companies/def/sic-2007/42,http://business.data.gov.uk/companies/def/sic-2007/F,95
Specialised construction works,http-//business-data-gov-uk/companies/def/sic-2007/43,http://business.data.gov.uk/companies/def/sic-2007/F,96
Wholesale and retail trade and repair services of motor vehicles and motorcycles,http-//business-data-gov-uk/companies/def/sic-2007/45,http://business.data.gov.uk/companies/def/sic-2007/G,97
"Wholesale trade services, except of motor vehicles and motorcycles",http-//business-data-gov-uk/companies/def/sic-2007/46,http://business.data.gov.uk/companies/def/sic-2007/G,98
"Retail trade services, except of motor vehicles and motorcycles",http-//business-data-gov-uk/companies/def/sic-2007/47,http://business.data.gov.uk/companies/def/sic-2007/G,99
Rail transport,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/49-1-2,http://business.data.gov.uk/companies/def/sic-2007/H,100
"Buses, coaches, trams and similar public urban transport n.e.c",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/49-31/9-49-39,http://business.data.gov.uk/companies/def/sic-2007/H,101
"Underground, metro other non interurban rail services",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/49-31/1,http://business.data.gov.uk/companies/def/sic-2007/H,102
Taxis and other renting of private cars with driver,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/49-32,http://business.data.gov.uk/companies/def/sic-2007/H,103
Freight transport by road and removal services,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/49-4,http://business.data.gov.uk/companies/def/sic-2007/H,104
Transport via pipeline,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/49-5,http://business.data.gov.uk/companies/def/sic-2007/H,105
Water transport services,http-//business-data-gov-uk/companies/def/sic-2007/50,http://business.data.gov.uk/companies/def/sic-2007/H,106
Air transport services,http-//business-data-gov-uk/companies/def/sic-2007/51,http://business.data.gov.uk/companies/def/sic-2007/H,107
Warehousing and support services for transportation,http-//business-data-gov-uk/companies/def/sic-2007/52,http://business.data.gov.uk/companies/def/sic-2007/H,108
Postal and courier services,http-//business-data-gov-uk/companies/def/sic-2007/53,http://business.data.gov.uk/companies/def/sic-2007/H,109
Accommodation services,http-//business-data-gov-uk/companies/def/sic-2007/55,http://business.data.gov.uk/companies/def/sic-2007/I,110
Food and beverage serving services,http-//business-data-gov-uk/companies/def/sic-2007/56,http://business.data.gov.uk/companies/def/sic-2007/I,111
Publishing services,http-//business-data-gov-uk/companies/def/sic-2007/58,http://business.data.gov.uk/companies/def/sic-2007/J,112
"Motion picture, video and television programme production services, sound recording and music publishing",http-//business-data-gov-uk/companies/def/sic-2007/59,http://business.data.gov.uk/companies/def/sic-2007/J,113
