Period,Final Demand Code,Measure,Unit,Value
year/2018,FD 2,greenhouse-gas-emissions,kt-co2e,5071.888
year/2018,FD 3,greenhouse-gas-emissions,kt-co2e,41204.485
year/2018,FD 4,greenhouse-gas-emissions,kt-co2e,26215.356
year/2018,FD 5,greenhouse-gas-emissions,kt-co2e,100463.827
year/2018,FD 6,greenhouse-gas-emissions,kt-co2e,4423.621
year/2018,FD 7,greenhouse-gas-emissions,kt-co2e,3313.732
year/2019,FD 1,greenhouse-gas-emissions,kt-co2e,449432.937
year/2019,FD 1,greenhouse-gas-emissions,kt-co2e,147687.9
year/2019,FD 2,greenhouse-gas-emissions,kt-co2e,4627.828
year/2019,FD 3,greenhouse-gas-emissions,kt-co2e,40392.068
year/2019,FD 4,greenhouse-gas-emissions,kt-co2e,24876.499
year/2019,FD 5,greenhouse-gas-emissions,kt-co2e,97453.541
year/2019,FD 6,greenhouse-gas-emissions,kt-co2e,2056.516
year/2019,FD 7,greenhouse-gas-emissions,kt-co2e,7640.689
year/1990,FD 1,carbon-dioxide-emissions,kt-co2,425291.09
year/1990,FD 1,carbon-dioxide-emissions,kt-co2,138283.8
year/1990,FD 2,carbon-dioxide-emissions,kt-co2,4551.321
year/1990,FD 3,carbon-dioxide-emissions,kt-co2,35469.371
year/1990,FD 4,carbon-dioxide-emissions,kt-co2,23193.287
year/1990,FD 5,carbon-dioxide-emissions,kt-co2,102169.916
year/1990,FD 6,carbon-dioxide-emissions,kt-co2,164.3
year/1990,FD 7,carbon-dioxide-emissions,kt-co2,1393.959
year/1991,FD 1,carbon-dioxide-emissions,kt-co2,425683.046
year/1991,FD 1,carbon-dioxide-emissions,kt-co2,146760.8
year/1991,FD 2,carbon-dioxide-emissions,kt-co2,4651.705
year/1991,FD 3,carbon-dioxide-emissions,kt-co2,35337.798
year/1991,FD 4,carbon-dioxide-emissions,kt-co2,23496.654
year/1991,FD 5,carbon-dioxide-emissions,kt-co2,101871.507
year/1991,FD 6,carbon-dioxide-emissions,kt-co2,167.618
year/1991,FD 7,carbon-dioxide-emissions,kt-co2,1420.573
year/1992,FD 1,carbon-dioxide-emissions,kt-co2,400866.199
year/1992,FD 1,carbon-dioxide-emissions,kt-co2,145113.9
year/1992,FD 2,carbon-dioxide-emissions,kt-co2,4472.209
year/1992,FD 3,carbon-dioxide-emissions,kt-co2,33960.328
year/1992,FD 4,carbon-dioxide-emissions,kt-co2,22751.347
year/1992,FD 5,carbon-dioxide-emissions,kt-co2,95644.671
year/1992,FD 6,carbon-dioxide-emissions,kt-co2,160.074
year/1992,FD 7,carbon-dioxide-emissions,kt-co2,1383.577
year/1993,FD 1,carbon-dioxide-emissions,kt-co2,382510.229
year/1993,FD 1,carbon-dioxide-emissions,kt-co2,149779.3
year/1993,FD 2,carbon-dioxide-emissions,kt-co2,4968.922
year/1993,FD 3,carbon-dioxide-emissions,kt-co2,32784.708
year/1993,FD 4,carbon-dioxide-emissions,kt-co2,19978.881
year/1993,FD 5,carbon-dioxide-emissions,kt-co2,89369.387
year/1993,FD 6,carbon-dioxide-emissions,kt-co2,116.748
year/1993,FD 7,carbon-dioxide-emissions,kt-co2,3570.437
year/1994,FD 1,carbon-dioxide-emissions,kt-co2,376040.706
year/1994,FD 1,carbon-dioxide-emissions,kt-co2,144830.4
year/1994,FD 2,carbon-dioxide-emissions,kt-co2,4895.554
year/1994,FD 3,carbon-dioxide-emissions,kt-co2,32130.284
