Label,URI,Parent URI,Sort Priority,Description,Local Notation
"Wholesale trade services, except of motor vehicles and motorcycles",http-//business-data-gov-uk/companies/def/sic-2007/46,http://business.data.gov.uk/companies/def/sic-2007/G,,,46
"Retail trade services, except of motor vehicles and motorcycles",http-//business-data-gov-uk/companies/def/sic-2007/47,http://business.data.gov.uk/companies/def/sic-2007/G,,,47
Rail transport,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/49-1-2,http://business.data.gov.uk/companies/def/sic-2007/H,,,49-1-2
"Buses, coaches, trams and similar public urban transport n.e.c",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/49-31/9-49-39,http://business.data.gov.uk/companies/def/sic-2007/H,,,49-31/9-49-39
"Underground, metro other non interurban rail services",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/49-31/1,http://business.data.gov.uk/companies/def/sic-2007/H,,,49-31/1
Taxis and other renting of private cars with driver,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/49-32,http://business.data.gov.uk/companies/def/sic-2007/H,,,49-32
Freight transport by road and removal services,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/49-4,http://business.data.gov.uk/companies/def/sic-2007/H,,,49-4
Transport via pipeline,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/49-5,http://business.data.gov.uk/companies/def/sic-2007/H,,,49-5
Water transport services,http-//business-data-gov-uk/companies/def/sic-2007/50,http://business.data.gov.uk/companies/def/sic-2007/H,,,50
Air transport services,http-//business-data-gov-uk/companies/def/sic-2007/51,http://business.data.gov.uk/companies/def/sic-2007/H,,,51
Warehousing and support services for transportation,http-//business-data-gov-uk/companies/def/sic-2007/52,http://business.data.gov.uk/companies/def/sic-2007/H,,,52
Postal and courier services,http-//business-data-gov-uk/companies/def/sic-2007/53,http://business.data.gov.uk/companies/def/sic-2007/H,,,53
Accommodation services,http-//business-data-gov-uk/companies/def/sic-2007/55,http://business.data.gov.uk/companies/def/sic-2007/I,,,55
Food and beverage serving services,http-//business-data-gov-uk/companies/def/sic-2007/56,http://business.data.gov.uk/companies/def/sic-2007/I,,,56
Publishing services,http-//business-data-gov-uk/companies/def/sic-2007/58,http://business.data.gov.uk/companies/def/sic-2007/J,,,58
"Motion picture, video and television programme production services, sound recording and music publishing",http-//business-data-gov-uk/companies/def/sic-2007/59,http://business.data.gov.uk/companies/def/sic-2007/J,,,59
Programming and broadcasting services,http-//business-data-gov-uk/companies/def/sic-2007/60,http://business.data.gov.uk/companies/def/sic-2007/J,,,60
Telecommunications services,http-//business-data-gov-uk/companies/def/sic-2007/61,http://business.data.gov.uk/companies/def/sic-2007/J,,,61
"Computer programming, consultancy and related services",http-//business-data-gov-uk/companies/def/sic-2007/62,http://business.data.gov.uk/companies/def/sic-2007/J,,,62
Information services,http-//business-data-gov-uk/companies/def/sic-2007/63,http://business.data.gov.uk/companies/def/sic-2007/J,,,63
"Financial services, except insurance and pension funding",http-//business-data-gov-uk/companies/def/sic-2007/64,http://business.data.gov.uk/companies/def/sic-2007/K,,,64
