,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
1519,1988-08-01,129-29773,183-99972,210-06037999999998,130-98909,54-03168,41-16316,43-077220000000004,68-7497,142-68755,49-84882,99-61755,155-13375,64-81952,87.32715,31
1520,1988-09-01,102-45308,159-86235,177-12816999999998,111-66708999999999,36-098209999999995,40-83468,38-58377,61-361869999999996,110-71241,46-2614,59-16489,120-49161000000001,40-03071,53.5134,30
1521,1988-10-01,155-78534,171-63285,178-37691,144-87001,52-929469999999995,56-924209999999995,64-89528,101-24566,119-93585,75-02069,116-96808,130-83441000000002,59-75408,87.7224,31
1522,1988-11-01,79-8139,106-74951999999999,107-43385,58-62721,37-95057,34-852340000000005,23-98566,74-22094,68-28698,30-347609999999996,43-60897,72-25939,35-27199,54.905719999999995,30
1523,1988-12-01,68-24969,194-90202,164-29161000000002,92-19759,27-86107,22-3038,12-95518,47-48935,115-95886000000002,17-68882,38-55575,79-56774,27-737920000000003,47.92897,31
1524,1989-01-01,102-91982,272-40103,193-32034,74-62601,29-43116,31-90836,30-540979999999998,28-55053,73-81586,31-79011,53-1744,94-47868000000001,32-22782,27.31134,31
1525,1989-02-01,143-9129,316-77867000000003,220-00419,101-85493000000001,42-17965,40-14696,44-36758,80-90624,142-98841000000002,66-83776,116-46983999999999,163-19698,61-53609,68.79948,28
1526,1989-03-01,132-44881999999998,209-19736,213-89172000000002,124-53031999999999,55-54615,50-05794,62-91098,61-04525,142-71763,71-92114000000001,104-52553,176-59091999999998,57-35426,77.71677,31
1527,1989-04-01,51-28995,61-96744,85-99061,106-6552,95-04975,72-71287,82-98335,57-889109999999995,87-58917,79-87221,82-52776999999999,102-82251,83-89681,77.79955,30
1528,1989-05-01,46-48068,68-16828000000001,42-57586,32-51693,21-856720000000003,9-771939999999999,4-825130000000001,21-233729999999998,37-09023,10-36866,18-649910000000002,25-82232,24-81943,19.93985,31
1529,1989-06-01,59-253530000000005,85-31255,84-32455999999999,58-58363000000001,61-0663,54-566269999999996,40-81024,51-81881,81-55754,40-45935,36-538779999999996,72-35325,43-376529999999995,70.08385,30
1530,1989-07-01,26-374859999999998,62-983090000000004,55-442440000000005,43-49537,36-6259,44-738009999999996,33-678259999999995,17-63564,32-87314,29-729459999999996,34-76998,48-242540000000005,44-02933,43.97472,31
1531,1989-08-01,126-14143999999999,203-70477,226-11946,116-68835,38-9935,35-75685,50-964659999999995,74-92788,117-83275,34-80072,53-76116,94-3054,45-08383,43.05839,31
1532,1989-09-01,66-65791999999999,109-8931,101-38798,54-611259999999994,36-55124,25-155839999999998,20-451520000000002,19-6519,29-20239,33-65102,74-80578,63-147009999999995,37-64022,20.21815,30
1533,1989-10-01,107-13864,228-29005,203-71938,145-14065,60-29622,39-183640000000004,50-060159999999996,67-48052,143-92557,73-45997,122-04231999999999,186-65335,84-12548000000001,77.79603,31
1534,1989-11-01,40-66638,71-31634,67-76057,51-1575,44-6675,31-082290000000004,26-9522,34-219609999999996,84-01561,44-67078,77-23635999999999,112-25266,52-36249,45.03172,30
1535,1989-12-01,77-90164,100-84043,109-57645,78-02574,103-53229,103-92828,121-94046000000002,73-39088000000001,100-56669000000001,143-88322,176-90356,204-89656000000002,140-07592,94.70598000000001,31
1536,1990-01-01,185-45404,262-70619,286-58434,139-90346,67-67693,53-581759999999996,75-04911,105-79709,198-01731999999998,109-33067,156-79707,254-29817000000003,108-5249,115.07571999999999,31
1537,1990-02-01,215-97232999999997,327-92974,312-94802000000004,194-46958,85-32515,78-74058000000001,98-54222,127-25953999999999,196-22042,128-27571,190-94536000000002,227-93242,107-14737,110.58431999999999,28
1538,1990-03-01,114-0421,345-67425,213-8406,64-0748,16-03021,15-360439999999999,6-48905,30-364140000000003,44-664770000000004,8-874310000000001,19-66585,39-71012,16-439629999999998,23.213639999999998,31
1539,1990-04-01,50-73924,128-90194,107-76238000000001,73-467,26-19193,39-36779,41-97198,23-67363,56-91265,41-81902,40-571459999999995,52-092909999999996,29-8754,26.630370000000003,30
1540,1990-05-01,46-61937,53-40759,63-56561,50-11851,17-57984,14-2797,8-32263,51-06603,48-0398,8-99152,16-995929999999998,36-671890000000005,19-71033,29.76202,31
1541,1990-06-01,120-73213999999999,134-39115,132-02391,127-12131000000001,56-85856999999999,43-17752,45-89048,68-1479,99-33675,54-65345,78-87177,104-53936,57-78978000000001,83.08524,30
1542,1990-07-01,45-393229999999996,87-21948,87-73307,63-26774,26-793029999999998,18-72619,11-96768,38-6492,58-49556,14-100779999999999,45-04225,57-50764,24-08401,32.991240000000005,31
1543,1990-08-01,73-60672,144-24827,134-3869,91-64473000000001,37-51234,31-95852,42-24647,52-00607,72-74246,32-513009999999994,48-50923,70-12087,31-81287,45.31775,31
1544,1990-09-01,72-92747,202-8864,135-46851999999998,47-44169,34-19596,32-26766,26-70915,50-744890000000005,85-62479,36-5919,56-78644,89-72501,47-69117,41.69985,30
1545,1990-10-01,173-54573,199-46916000000002,265-80283,205-24643999999998,74-34011,50-94595,52-576840000000004,101-80847,173-74438999999998,84-04826,103-9651,162-27739,84-78305,89.56979,31
1546,1990-11-01,68-40508,133-11668999999998,86-68533000000001,88-01529000000001,49-222409999999996,57-015859999999996,35-0154,60-2367,72-84425,49-47769,74-54606,118-10048,47-5624,54.899319999999996,30
1547,1990-12-01,133-64055,214-97038999999998,208-85876000000002,120-03513000000001,65-77364,47-681459999999994,60-3757,122-71882,150-53363000000002,66-12652,100-06203000000001,173-11931,77-86357,119.25805,31
1548,1991-01-01,115-21951999999999,162-33909,167-10252,100-18806,57-05223,43-514109999999995,66-21032,79-42611,99-41955,90-71259,127-96262,156-67636000000002,79-11695,69.59123000000001,31
1549,1991-02-01,94-21268,68-69295,93-72131999999999,57-2322,43-30238,38-050470000000004,40-75855,109-94312,94-24075,38-798390000000005,59-6902,100-74539,35-76191,87.08091999999999,28
1550,1991-03-01,104-92437,127-33221999999999,150-08765,112-78811999999999,36-17897,28-64534,29-221259999999997,84-13104,108-75308000000001,53-5917,102-10688,130-83223,65-35551,62.89671,31
1551,1991-04-01,88-66326,121-71961999999999,172-49489,118-71553,50-56566,46-87523,60-90537,38-47449,71-21661,59-2897,85-33456,134-32384,65-82840999999999,48.77601,30
1552,1991-05-01,26-764159999999997,60-16191,27-77859,10-62824,12-02882,14-695960000000001,19-22167,21-77223,18-08921,14-4106,9-95894,15-783579999999999,9-60162,14.26493,31
1553,1991-06-01,120-24063000000001,121-13605,125-19738000000001,97-27766,68-05441,84-57431,96-60755999999999,68-02931,104-05879,111-58406000000001,115-28878,117-82283000000001,71-22966,73.04138,30
1554,1991-07-01,81-49221999999999,97-84245,97-23451,62-33916,46-210229999999996,40-21389,70-28497,53-12186,68-38031,87-13311,82-6461,102-67528,86-85891,37.47283,31
1555,1991-08-01,38-08275,82-49174000000001,79-72211999999999,38-57959,15-79575,21-61787,23-057579999999998,35-4933,64-34923,16-05278,24-98069,59-67326,20-22842,23.40749,31
1556,1991-09-01,84-3621,164-67927,127-56867,59-76503,65-70057,56-893840000000004,49-99667,40-56156,68-33971,52-13898,75-37586999999999,87-81854,50-86222,43.188359999999996,30
1557,1991-10-01,129-11401,178-67054,180-56169,109-26266000000001,37-99781,23-91439,20-88551,72-604,125-55618999999999,45-26502,98-9438,160-6098,54-87846999999999,63.082519999999995,31
1558,1991-11-01,139-92706,264-78891,246-75057999999999,143-7428,54-0398,58-11101,56-21,103-86726,168-60137,74-63216,93-18231,150-61315,63-13401999999999,93.22849000000001,30
1559,1991-12-01,85-22108,147-73845,189-55643,122-18871999999999,37-04623,22-35318,14-97149,73-67791,116-81692,19-98848,38-50379,75-48512,28-54842,61.369,31
1560,1992-01-01,88-54727,170-60949,139-68732,79-87434,52-30109,39-50911,12-01565,31-76357,58-69653,22-97929,44-54981,77-01445,63-457919999999994,47.70513,31
1561,1992-02-01,92-06549,209-43143999999998,200-97813,92-82887,22-87546,16-6703,18-73435,43-90316,99-81551,29-996990000000004,51-46467,86-49554,30-270190000000003,42.95541,29
1562,1992-03-01,155-33481,222-45741,246-00322000000003,144-15742,66-15657,64-2365,43-06585,105-24375,140-15386999999998,55-86558,65-308,138-95301,58-567409999999995,89.39716999999999,31
1563,1992-04-01,84-78005,131-76766,144-16429,108-93856000000001,39-864740000000005,48-62149,58-54224,103-83405,95-66709,77-189,85-86783,102-05702,48-60803,67.18933,30
1564,1992-05-01,55-7764,97-58747,81-94389,48-39542,45-77179,51-611259999999994,64-77219000000001,29-00931,61-578619999999994,41-6229,29-89286,73-6707,65-78735,33.907790000000006,31
1565,1992-06-01,36-87401,46-775259999999996,35-7838,40-10906,42-315490000000004,33-803540000000005,43-59391,19-05572,30-46629,31-233079999999998,37-56637,55-369640000000004,50-56709,33.603229999999996,30
1566,1992-07-01,69-15791999999999,94-1556,115-11608000000001,89-95071999999999,102-02146,81-781,69-0618,62-87611999999999,78-8538,76-27020999999999,76-29278000000001,97-38684,86-25899,84.35233000000001,31
1567,1992-08-01,177-5054,236-87818,255-99511,171-3989,97-93117,77-54024,85-81047,97-55333,151-36874,107-20783999999999,151-9196,230-4402,127-50346,100.25968,31
1568,1992-09-01,139-21751,191-70496,183-248,90-06238,89-80075,83-72239,77-81094,94-01856,110-64151000000001,81-62879000000001,87-74683,119-92102,63-68581,95.24067,30
1569,1992-10-01,84-6414,144-93151,124-91896000000001,83-80411,76-18845999999999,75-31306,80-50745,79-81801,119-08716000000001,79-62223,73-84082,108-0918,66-79252,76.71129,31
1570,1992-11-01,136-63315,247-18422999999999,234-34582999999998,139-22173999999998,89-20584000000001,87-40888000000001,96-86895,96-38323000000001,170-77783,131-6903,180-33652,224-40541000000002,109-31707,102.22964,30
1571,1992-12-01,92-87095,204-87362,151-74462,86-05827,50-34802,39-96696,42-22235,67-70534,117-71941000000001,69-23953,100-6903,151-64805,61-425090000000004,71.22261999999999,31
1572,1993-01-01,235-85529,353-41175,299-74199,141-83516,62-11026999999999,56-851409999999994,63-431940000000004,102-76671999999999,162-30067,91-13533000000001,140-39178,203-67094,75-15437,90.52436999999999,31
1573,1993-02-01,24-20603,107-71511000000001,56-33631,30-96973,12-04932,17-97918,6-381419999999999,15-16875,18-12603,7-79679,14-63137,25-32633,7-64127,18.77034,28
1574,1993-03-01,81-8833,137-85799,142-53081,66-70151,14-28982,18-08559,17-88915,24-37868,37-62281,28-03388,34-269859999999994,35-62758,15-44335,14.47326,31
1575,1993-04-01,118-97206000000001,84-09123000000001,163-07981999999998,124-53335,81-8149,66-45515999999999,78-76417,118-31192,123-31246000000002,87-46118,88-29224,116-18683,72-44225,102.5407,30
1576,1993-05-01,124-56818,91-37885,129-71199,136-98397,54-10726,51-90755,46-083220000000004,114-90872,126-86636999999999,55-94837,97-0222,139-64719,83-39137,81.24299,31
1577,1993-06-01,60-8533,82-8651,75-96976,74-74410999999999,64-26565,46-67674,56-90906999999999,37-89694,56-49026,52-71918,83-7581,99-37113000000001,68-17753,47.46533,30
1578,1993-07-01,82-51762,131-58494,126-11626000000001,106-92155,82-55211,64-39522,47-10392,55-93844,108-31563999999999,58-09265,97-57458000000001,118-90821000000001,69-26833,70.78392,31
1579,1993-08-01,61-18238,83-0223,81-95452,67-54979,47-34322,43-50562,30-634359999999997,74-40887,79-30655,35-08341,35-97987,79-55676,36-33305,77.77713,31
1580,1993-09-01,93-10122,53-67985,84-7445,107-5603,107-38505,103-06848000000001,108-79401000000001,106-39505,86-94386,112-30032,134-57381,120-02071000000001,84-76290999999999,129.64271000000002,30
1581,1993-10-01,135-22531999999998,132-28513,60-86034,40-58883,74-43053,97-92182,112-11433000000001,89-60618000000001,51-43714,121-30242,114-59919,77-49954,75-36192,62.81063,31
1582,1993-11-01,66-06576,67-01133,108-16372,60-205,68-59579000000001,65-54218,37-87355,60-26492,64-52628,55-37554,80-54013,113-17714,64-52531,63.92913000000001,30
1583,1993-12-01,163-39206000000001,244-59227,294-50887,196-09249,102-69126999999999,86-3985,84-09758000000001,126-53544,240-67587000000003,131-60828,202-81408000000002,295-59067000000005,122-59867,132.72628,31
1584,1994-01-01,161-37514,235-5964,246-58162000000002,155-40437,83-08487,70-855,85-88283,102-70537,156-70932,111-30527,147-99307,194-76237,84-45716999999999,115.26495,31
1585,1994-02-01,107-53733999999999,74-28781,112-27906000000002,133-19295,54-5648,41-02261,41-96672,68-47143,71-16999,61-941759999999995,128-04878,134-16134,72-38013000000001,65.0015,28
1586,1994-03-01,164-94065,301-96389,259-43762000000004,130-03999,61-904109999999996,51-40173,45-34202,77-90938,157-8441,53-553180000000005,97-16157,197-84233,65-61031,72.69286,31
1587,1994-04-01,84-02368,168-73435,141-43145,88-94547,51-37353,52-32689,57-6672,59-914019999999994,106-50293,67-02588,73-34636,125-00066000000001,52-86055,61.288169999999994,30
1588,1994-05-01,19-40963,35-06154,35-20874,38-383070000000004,50-2385,51-9461,75-90476,25-149810000000002,35-35922,84-60903,91-51016,66-99324,52-17219,44.88062,31
1589,1994-06-01,69-08421,139-77229,123-01353999999999,68-65968000000001,19-134420000000002,27-59375,22-1221,37-19896,69-03164,33-37315,27-249340000000004,62-40801999999999,21-33318,30.2386,30
1590,1994-07-01,48-817820000000005,59-207240000000006,101-80852,68-15968000000001,52-034009999999995,32-53672,19-47949,40-32071,69-60481999999999,24-956129999999998,39-62924,68-16691999999999,40-74325,53.91222,31
1591,1994-08-01,70-87178,105-69868000000001,136-68633,91-24835,48-69191,59-02423,57-82643,79-77004000000001,102-0517,59-27378,81-54064,96-41356,53-34035,59.8293,31
1592,1994-09-01,63-75675,146-74808000000002,91-61789,74-0039,113-25198,74-59114,63-7729,73-65685,112-04354,82-71109,111-1844,135-74868,123-96381000000001,100.70871,30
1593,1994-10-01,95-04455,110-94815,124-09289,63-94388000000001,60-98075,74-76732,83-53341999999999,67-80779,120-33388000000001,101-40465,117-34289,142-32057,64-69501,73.76272,31
1594,1994-11-01,127-94507,154-82266,186-76101,94-59589,59-46321,25-22498,36-82585,92-76051,133-70328,61-393980000000006,104-28806,135-79171000000002,64-83494,87.89579,30
1595,1994-12-01,163-85783999999998,270-65462,293-13479,151-64741,80-65653,55-84469,76-3551,113-02408999999999,205-45843,107-51831000000001,168-46941,270-02842000000004,107-17925,120.10555,31
1596,1995-01-01,155-18996,270-06969,244-42564,152-39828,106-1558,102-03149,130-51758999999998,113-54061000000002,204-98782,149-49958,197-38346,249-8969,122-78278999999999,132.36383,31
1597,1995-02-01,141-31363000000002,238-66242000000003,223-18247000000002,121-3529,64-3201,66-29695,74-60178,99-88983,164-40243,97-30904,130-06443000000002,191-49651,82-45699,97.86762,28
1598,1995-03-01,90-70782,165-37787,175-69262,107-74835,43-8605,54-74369,47-64913,55-609519999999996,105-01531999999999,54-08526,70-79685,93-47621,49-7093,64.65918,31
1599,1995-04-01,45-30943,91-26517,57-80248,37-178490000000004,17-8783,15-37074,12-2419,36-92777,28-36529,18-617070000000002,39-30178,38-40927,19-116629999999997,25.89965,30
1600,1995-05-01,78-84355,85-34564,83-40756,53-10852,38-8645,26-09057,24-71107,51-47998,64-996,28-47904,54-016369999999995,77-46658000000001,52-33368,43.52448,31
1601,1995-06-01,37-351440000000004,45-97525,43-56655,32-0181,16-70042,27-07747,23-06798,29-217640000000003,39-06381,16-92259,15-70183,28-85555,12-00084,23.90714,30
1602,1995-07-01,58-801269999999995,97-01942,110-01793,78-08854000000001,17-942729999999997,29-09705,32-953590000000005,28-61925,64-88041,32-10522,36-63398,76-72324,36-57578,29.82907,31
1603,1995-08-01,22-289920000000002,44-14083,34-99082,13-265529999999998,7-233810000000001,8-1512,1-8679700000000001,11-38601,18-429779999999997,4-34051,12-1825,14-30235,9-14896,9.21963,31
1604,1995-09-01,188-57012,234-95771000000002,123-75421000000001,84-80219,89-10918000000001,103-5729,98-77696999999999,108-38322,97-83832,129-17584,134-55787,124-86116000000001,92-59621,96.00948000000001,30
1605,1995-10-01,168-16648999999998,222-78565,296-59413,169-97343,25-10023,12-01212,13-215320000000002,53-8593,106-50258999999998,33-465790000000005,82-59401,115-10651999999999,40-10136,28.58592,31
1606,1995-11-01,106-18327,144-10751000000002,117-00036000000001,153-66918,56-62625,33-45728,30-122259999999997,115-64975,76-41721,66-42811,120-67258999999999,131-18214,63-19324,64.42473000000001,30
1607,1995-12-01,68-8243,52-28178,49-51355,65-267,67-56067,70-98066999999999,90-63798,77-57663000000001,41-466359999999995,94-0395,111-56878999999999,103-93462,81-67033,66.68072,31
1608,1996-01-01,97-68616,59-96553,125-43643999999999,120-8549,37-87919,31-54198,50-06628,43-81542,53-335280000000004,58-35533,108-37003,101-5302,47-23213,45.30641,31
1609,1996-02-01,111-62375,140-94034,171-25079,100-15638,56-01401,49-93416,48-001020000000004,83-52935,105-17371000000001,66-04358,95-91271,132-34,63-10552,76.94419,29
1610,1996-03-01,61-670080000000006,52-7281,66-70931999999999,55-121019999999994,25-09292,19-41382,29-335759999999997,29-88577,35-85895,38-25623,66-54221,72-34131,44-85579,29.75944,31
1611,1996-04-01,87-28322,105-9404,140-98828999999998,113-40173999999999,28-782429999999998,9-29137,19-62937,61-32325,77-08211999999999,30-189359999999997,64-86106,89-94739,53-77095,41.84315,30
1612,1996-05-01,66-77558,81-19919,86-60074,88-32522,29-74258,21-78077,29-646140000000003,51-73147,61-691140000000004,43-76676,74-82332,112-16465,50-09212,50.12717,31
1613,1996-06-01,38-4025,74-57049,85-19803,45-750479999999996,25-16463,14-17733,8-66267,20-01995,47-487790000000004,16-798779999999997,29-7767,48-024640000000005,29-885990000000003,34.7917,30
1614,1996-07-01,57-65278000000001,89-45336,87-69558,69-6899,33-77682,42-24494,35-15586,52-16105,65-00238,35-11787,30-085890000000003,49-813759999999995,31-576729999999998,43.84373,31
1615,1996-08-01,62-42593000000001,77-38523,66-41056,111-77446,61-45584,80-97842,58-46781,66-76744000000001,88-05889,70-90345,87-96121,106-14726,65-61155,74.75222,31
1616,1996-09-01,42-0921,79-09053,70-23104000000001,37-62265,14-4956,17-41293,22-50551,29-3702,61-97148000000001,26-43494,39-0345,61-61575,17-55119,31.513090000000002,30
1617,1996-10-01,161-85777,243-15503999999999,273-25272,149-25959,56-47569,41-85758,37-72204,64-81260999999999,146-383,51-5776,101-95251999999999,187-75683,70-44659,58.163180000000004,31
1618,1996-11-01,134-45681000000002,232-4192,199-29981999999998,128-03898999999998,94-26544,94-76886,103-01021999999999,104-83499,141-49809,128-11186999999998,160-60573,176-09968,78-66973,112.46376000000001,30
1619,1996-12-01,85-77734,102-99436,96-78886,62-34673000000001,60-45136,33-961220000000004,17-6682,86-30894,63-816419999999994,27-951079999999997,39-866040000000005,55-47886999999999,44-43995,92.27525,31
1620,1997-01-01,32-052009999999996,81-67815999999999,49-2323,31-823109999999996,15-840679999999999,10-741439999999999,12-927480000000001,17-7845,12-38606,16-059160000000002,18-07074,11-88133,10-928189999999999,11.36766,31
1621,1997-02-01,197-53408000000002,311-10421,283-0632,142-12589,57-195,45-93962,59-21416,120-4684,211-58687999999998,85-40491,133-54891999999998,222-87766000000002,76-00561,105.64928,28
1622,1997-03-01,78-28582,187-66057,131-17295,51-1174,16-99854,10-937660000000001,9-80418,34-09773,74-02467,14-733870000000001,31-771309999999996,53-52803,21-97639,29.68062,31
1623,1997-04-01,35-22805,106-2514,84-93975,46-86703,25-075,13-67629,9-87455,16-46397,38-54203,11-59326,24-73576,38-139179999999996,30-28977,21.49324,30
1624,1997-05-01,113-45366999999999,111-08396,101-43598,105-23589,60-08376,43-18998,35-28047,71-61265,104-30991999999999,49-194520000000004,77-93579,115-35688,79-12044,70.96133,31
1625,1997-06-01,127-7948,91-69451,78-29697,95-07472,129-2091,128-87421,113-75363,160-30815,95-95291999999999,112-66788999999999,114-16633,146-55796999999998,125-69235,137.73269,30
1626,1997-07-01,65-43630999999999,99-5627,96-47426,96-51186,55-04192,34-422990000000006,37-78314,69-95696,82-93753000000001,28-966379999999997,32-071259999999995,57-24593,38-83815,61.339369999999995,31
1627,1997-08-01,55-078340000000004,77-00138000000001,64-49579,71-51709,86-53213000000001,47-28417,62-09629,42-25468,65-02449,88-24415,156-40336000000002,139-38843,87-49475,71.497,31
1628,1997-09-01,66-58825999999999,131-30645,143-01461,57-22088000000001,20-50297,12-137260000000001,8-15077,27-6188,87-12069,12-76799,31-051790000000004,72-04035,25-41517,29.4106,30
1629,1997-10-01,55-426680000000005,82-5398,108-5289,82-8689,52-928369999999994,49-06886,55-32405,38-655409999999996,67-61957,75-94033,83-53936999999999,97-22587,61-28025,48.96756,31
1630,1997-11-01,155-11585,119-39221,145-97953,127-45617,73-06267,57-08563,64-00636,86-10571999999999,107-92138999999999,121-01173999999999,169-59431,195-06434,90-04409,80.74118,30
1631,1997-12-01,144-96479,183-12193,228-37149,136-66558999999998,67-64558000000001,80-16954,64-26512,111-9206,153-43018,91-91241,118-20492,159-21395,65-95249,102.51479,31
1632,1998-01-01,125-98175,193-01047,173-06094,122-38954,82-7741,61-43175,71-49341,109-10103000000001,135-31194,99-42304,142-63788,206-94326999999998,94-30384000000001,103.74328,31
1633,1998-02-01,84-05656,287-88451000000003,201-08219,50-75701,11-00248,6-8766300000000005,6-1649400000000005,19-57018,66-37388,8-97687,17-619970000000002,44-43504,15-59956,21.50515,28
1634,1998-03-01,83-92031999999999,145-23328999999998,132-02761999999998,85-78964,67-21977,50-22352,48-53687,74-83265,142-67452,66-94818000000001,103-30933,185-80143,76-68775,93.40769,31
1635,1998-04-01,144-78053,112-74258,98-00286,101-69382,109-94548,118-24643999999999,98-61768000000001,140-7021,101-19695,107-94016,134-35913,161-95608000000001,111-63864,119.94376000000001,30
1636,1998-05-01,55-18731,55-92821,56-70749,48-26786,19-58716,15-34641,23-21444,88-49901,47-135490000000004,24-77394,38-25612,32-52929,15-13746,44.03911,31
1637,1998-06-01,98-16675,117-5118,124-34431000000001,117-62848999999999,113-72532,96-3608,95-82923000000001,111-22091999999999,147-19036,97-89801,130-79163,192-09877,111-6187,122.0018,30
1638,1998-07-01,133-94516000000002,148-21376999999998,176-25564,125-34356000000001,32-33909,32-24463,29-57312,84-89271,112-27468,33-95319,70-8848,90-67942,32-35113,61.59489,31
1639,1998-08-01,83-74181999999999,131-6184,182-6777,90-85184,47-6404,34-47926,25-87207,59-93481,108-87019,20-99868,34-35328,82-91861,42-84755,48.81953,31
1640,1998-09-01,99-36068,86-724,92-27053000000001,83-6265,67-78251999999999,75-8745,94-33966,70-95296,88-84285,107-20943,116-41953999999998,138-16623,85-6456,52.9109,30
1641,1998-10-01,181-70649,242-97603999999998,285-56113,181-47066,115-81946,92-89001999999999,115-02153999999999,132-33258999999998,222-91775,136-26493,180-72221000000002,278-92905,135-4421,143.95871,31
1642,1998-11-01,137-23382,193-08946,206-31323999999998,135-87732,49-23958,59-241009999999996,62-49924,95-10651999999999,126-02383,60-758630000000004,100-69046,139-40431999999998,53-610209999999995,72.67198,30
1643,1998-12-01,118-687,214-83847999999998,199-76949,120-87945,69-86188,69-17165,56-92015,51-905609999999996,104-38061,83-51087,119-36328999999999,155-59186,66-39962,65.48965,31
1644,1999-01-01,157-95127,249-70257,256-08187999999996,146-86864,97-32623000000001,66-61169,81-23955,107-20305,182-36313,110-73591,159-76415,250-11482,116-61556999999999,102.26399,31
1645,1999-02-01,81-40432,185-34261,145-13315,86-24494,35-6019,28-76912,24-10322,36-58312,75-19024,30-0868,59-87072,103-68585999999999,43-38646,42.481,28
1646,1999-03-01,76-59857,157-1444,132-20185,64-78534,72-02105999999999,49-56272,35-38491,90-34987,101-52518,36-66128,59-027319999999996,99-82909000000001,59-672819999999994,101.32133,31
1647,1999-04-01,87-58236,118-47378,127-37803999999998,97-17705,60-78065,42-56969,41-85816,55-09831,85-74149,53-444469999999995,102-43675999999999,122-28233,69-26114,70.54465,30
1648,1999-05-01,93-01459,118-82449,119-84307,65-24755,49-67064,26-12772,31-899790000000003,70-86743,98-1791,35-16302,60-40749,83-15355,59-45675,60.35805,31
1649,1999-06-01,97-76468,134-40263000000002,115-45693,68-45639,73-5831,87-41854000000001,82-61304,84-19637,103-55488000000001,74-56791,83-51123,84-64938000000001,70-77626,91.20770999999999,30
1650,1999-07-01,65-11408,92-94053000000001,103-5827,53-281380000000006,23-083470000000002,30-472340000000003,12-483830000000001,25-39271,48-58212,12-82668,14-54654,27-89948,20-22955,24.54852,31
1651,1999-08-01,50-402229999999996,69-06413,78-50595,97-01053,84-07261,97-06459,89-93199,88-78256999999999,82-9713,103-37697,128-16859,138-0261,116-69887,78.74833000000001,31
1652,1999-09-01,147-28717,171-51155,197-489,179-36916000000002,70-93238000000001,79-54051,100-8298,87-94400999999999,129-91256,118-5606,142-24516,203-6739,120-82506000000001,91.27056,30
1653,1999-10-01,86-07078,153-49291000000002,104-84442,58-12509,76-09624000000001,52-1314,47-48708,60-77025,106-61928999999999,67-01597,79-46539,136-98151000000001,82-02596,76.03522,31
1654,1999-11-01,128-12511999999998,233-62706,209-21251,113-63056999999999,40-7704,37-380520000000004,32-08918,63-010380000000005,96-02875999999999,39-98948,71-77518,125-12196999999999,51-58679,53.47212,30
1655,1999-12-01,193-04913,293-73794,325-91775,221-19696000000002,81-2564,72-20316,87-20522,121-92121000000002,225-15998,125-91611999999999,216-90122999999997,260-02383,105-21393,124.09021000000001,31
1656,2000-01-01,120-83441,253-7623,201-75485,64-75394,23-1199,21-26859,21-58987,66-84933000000001,132-04203,25-55846,42-39528,110-50673,25-56839,63.42588000000001,31
1657,2000-02-01,120-6857,244-79913,221-7247,113-05908000000001,61-18486,59-89989,69-34867,63-43305,140-61209,76-64466,121-892,178-25044,75-84401,64.52713,29
1658,2000-03-01,75-91345,155-20049,138-33493,57-28686,23-296429999999997,16-43165,17-565260000000002,44-94551,80-69944,19-54195,35-940909999999995,66-32565,24-84573,41.82267,31
1659,2000-04-01,129-41105,109-35461000000001,73-33251,102-89556999999999,126-91823000000001,93-48911,119-35132,140-11951000000002,95-5089,141-09108999999998,167-13967,153-1629,138-01559,142.48176999999998,30
1660,2000-05-01,63-709340000000005,65-84208000000001,65-7381,67-07674,85-71403000000001,91-85217,94-82438,65-06074,76-5788,98-28907,91-96271,97-25882,63-53141,68.53758,31
1661,2000-06-01,62-55795,82-96753000000001,82-62458000000001,60-499340000000004,26-67233,17-11788,17-215320000000002,77-96467,96-69926,19-89722,29-77582,88-55637,39-880559999999996,71.61086,30
1662,2000-07-01,56-429880000000004,48-8058,62-32768000000001,39-902,53-061609999999995,60-341640000000005,53-193419999999996,58-539,74-78912,53-726209999999995,63-56247,87-44611,56-31853,62.042790000000004,31
1663,2000-08-01,111-52166000000001,107-07203,136-1394,104-89665,45-71924,39-02551,38-56723,79-85247,101-3292,43-8561,80-00777,106-27001000000001,53-256009999999996,60.138130000000004,31
1664,2000-09-01,159-04526,107-28615,220-60744,132-96955,106-33578999999999,80-8272,105-61448999999999,124-44734,163-15988000000002,106-85637,129-86688,166-90981000000002,109-84161,124.13,30
1665,2000-10-01,170-64486000000002,253-38821000000002,281-38465,180-6347,113-05823999999998,124-31276000000001,165-08092,124-60371,245-63075,194-51644,206-41107,283-78812999999997,132-29322,158.37146,31
1666,2000-11-01,155-56108,192-61381,176-60347,158-3598,127-35897,110-0262,121-79996000000001,169-08735,221-23312,167-54281,185-56257,286-32974,136-23361,169.66287,30
1667,2000-12-01,163-13976,182-90145,236-79296000000002,153-21931999999998,83-41443000000001,63-597190000000005,80-52514000000001,95-32239,148-34188,128-06707,186-46854,255-31252,127-57703000000001,104.50274,31
1668,2001-01-01,76-32495,85-01193,117-46868,65-20352,41-09932,53-81604,70-56504,47-45304,72-63923,97-09174,112-40534,100-38614,49-05695,46.73519,31
