,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"3.1.11.2 Laundry, laundrettes",49.03269177,27.69793025,30.05354711,33.55426025,18.64308129,32.44629635,20.97645119,23.16496462,27.8218242,20.44612252,18.83214579,19.79456752,11.97680088,12.73832504,12.93758882,11.20544369,9.71387887,10.98633177
3.2.1 Footwear for men,1065.226953,970.7476985,1156.03774,1125.688926,1251.16454,1332.010738,1269.906736,1177.769716,953.2371427,951.462065,1031.572624,945.408329,1179.935619,1254.466909,1159.616286,1010.462337,811.101121,872.4969335
3.2.2 Footwear for women,1419.770779,1639.626034,1822.480166,1841.491268,1977.770367,2264.116989,2072.817099,2031.449523,1910.53782,1613.46467,1701.136688,1640.602235,1553.57373,1661.963628,1603.508157,1258.006281,1169.281409,1043.781758
3.2.3 Footwear for children and infants,668.3500917,665.2307773,729.2098144,789.7207544,728.2063657,748.0484657,807.7735023,804.8115668,681.65013,535.3212658,575.6572506,578.7500142,570.4414728,607.1753798,575.5106508,444.2119229,445.7702508,402.1913357
3.2.4 Repair and hire of footwear,65.53708822,65.34316001,89.56963064,79.31512191,71.01782788,84.77437242,77.60594096,72.71283491,76.14153775,56.04345964,45.91009216,61.36620486,39.08643717,54.08551203,45.8750859,30.93301265,21.98338921,17.43530665
4.1.1 Actual rentals,10177.77558,10328.80459,10290.23445,10154.06503,9820.872298,10160.33884,11047.78397,10310.81675,9553.550785,9498.561285,9853.312166,10248.54043,9505.253971,9269.198278,9714.246834,9299.858537,8943.01873,8670.181956
4.1.2 Imputed rent,9802.825698,10293.26926,10091.17917,11730.83016,12434.05016,9074.761028,8197.394345,7109.172958,7362.913108,8224.390343,8109.449639,7008.795861,7141.030695,6806.349719,6394.662113,5780.134189,5482.725059,4831.180985
4.2.1 Central heating repairs,19.22284855,19.06340171,3.862827741,28.0582518,21.26291468,19.86528517,19.64640398,27.31805664,7.476761459,8.318929202,9.256810367,6.595732828,6.11736291,2.820865572,2.658536359,2.499679761,1.880933009,1.41405545
4.2.2 House maintenance,1254.366378,1353.524821,1131.992682,1652.547863,1450.231528,1547.600113,1575.24363,1097.218395,718.1166514,713.5219708,804.3928467,762.2940417,831.8893439,846.3558417,753.8779402,610.6472087,603.2482958,649.4806168
"4.2.3 Paint, wallpaper, timber",513.2548073,322.3562638,306.4636364,434.7871533,321.5079413,247.5158239,316.9071013,202.3287737,167.322843,170.0770883,193.9502738,170.8996366,242.1606856,198.0115602,165.8112083,127.5757624,141.1342579,152.7504545
"4.2.4 Equipment hire, small materials",351.7666392,338.1659371,395.9913801,409.7918858,364.900742,244.3627553,270.9544285,251.8362677,136.4442902,154.078467,118.3222805,121.9032428,112.8194101,92.98500307,110.4743939,93.75390645,68.07347246,125.5960213
4.3.1 Water charges,5973.118734,5269.666046,5311.736557,5502.09238,5308.379776,5111.882396,5360.822869,4516.978028,4527.018769,4437.906713,4288.708037,4377.421998,4148.655026,4271.85706,3993.463609,3602.395438,3577.941415,3599.344314
4.3.2 Other regular househing payments incl service charge for rent,802.1344982,845.7409167,784.4087953,888.5131712,871.8654784,1068.272929,1039.123171,741.9196354,737.4267206,749.1150875,750.107577,717.7660553,706.930422,784.2435576,777.4369045,737.5135219,801.6602241,669.233681
4.3.3 Refuse collection including skip hire,45.42910892,157.1956295,86.07273875,93.46631961,73.01145497,100.9233362,70.5262287,63.03683448,17.37592828,57.13809411,36.54951564,45.83682819,25.97188407,29.0323109,42.40557943,28.51990309,33.27391833,61.68292431
4.4.1 Electricity,97193.47368,88675.31179,82139.64351,90203.34896,80898.0338,88182.94692,78310.10668,76218.95471,68926.31086,68082.36573,62398.8843,67161.54702,66032.86509,58597.23305,53382.42944,45650.05315,40996.6816,39547.39952
4.4.2 Gas,129716.4587,127326.5429,126353.495,133130.298,133175.2843,133090.6212,135467.9083,139575.4737,131433.4054,148812.2899,122592.6518,135731.1223,137086.696,114864.1345,116030.2558,111169.1779,101046.0094,103204.2832
4.4.3.1 Coal and coke,1214.793978,1096.886418,903.1145579,911.0585698,419.1259318,602.236044,405.4443091,421.0610215,370.424785,370.8052164,394.1086484,302.7172141,173.5504909,268.8856167,302.0021306,174.1943718,161.8436722,125.52674
4.4.3.2 Oil for central heating,3051.095108,2994.692714,2428.239918,4109.057363,2870.218923,2700.340868,2672.745909,2645.341413,2417.200844,2358.024503,2195.323812,2483.85613,2520.037208,1889.911223,1727.691688,954.4260766,948.4149582,1163.005933
"4.4.3.3 Paraffin, weed, peat, hot water etc",149.1085763,189.3495078,121.5686407,157.6117627,88.76167856,117.3735913,119.7694931,117.2296873,125.9199021,153.7183876,76.2025959,174.0186051,317.2833075,269.2250441,219.8973714,172.2195038,149.8931497,161.9826872
5.1.1.1 Furniture,6180.825101,6361.279754,6630.975149,6884.895999,6641.85852,6939.617062,7572.923087,6519.172313,5785.707789,5393.265013,5601.399687,5308.973424,5808.884195,6335.576841,5596.807521,4936.247356,4646.309238,4420.039231
5.1.1.2 Fancy/decorative goods,1978.213956,1908.69677,1644.652079,1846.068645,1538.012487,1287.737491,1951.642405,1227.073497,873.5606635,902.7237799,1393.365838,1233.514128,740.5425918,1168.66802,1092.312562,797.2051828,639.4126322,918.0368297
5.1.1.3 Garden furniture,142.7684104,190.1780624,226.5682891,163.3535407,142.5063853,169.5877633,156.4004534,121.8558072,109.2539268,62.94916566,82.37816997,100.6420902,63.11517767,120.2884249,174.9699609,107.2094061,161.4007327,95.60532548
5.1.2.1 Soft floor coverings,3553.258204,3245.956955,3155.846939,3168.30889,3149.942917,3213.767945,3249.56796,2786.381736,2273.821183,2150.618518,2204.103464,2187.247518,1836.652042,1632.684993,2046.354048,1602.062777,1337.734539,1407.09763
5.1.2.2 Hard floor coverings,19.99642061,13.8832753,23.88593141,22.14358472,17.29372941,17.65894035,13.73710078,15.8616545,11.0349567,5.532573313,9.988272117,10.12141323,7.48077847,11.28072851,17.18325366,5.708319344,4.886263813,7.647116621
5.2.1 Bedroom textiles including duvets and pillows,1971.12329,2040.914639,1574.462237,1984.806554,2022.085009,1788.676358,1949.203885,2091.567085,2067.230093,1574.312053,1500.154235,1388.253115,1646.521382,1671.177776,1636.548453,1455.872671,1553.57633,1336.582812
